Liczba,Tweet,Label,,,
0,Dziś obchodzimy DzieńKobiet.    Wszystkim Paniom składamy najlepsze życzenia.       GUS statystyki MiędzynarodowyDzieńKobiet 8M IWD2020,1.0,,,
2," Zapomniałem dopisać, zarabiającego grubo powyżej średniej GUS, przystojnego i posiadającego kilka aut. Dopiero teraz skończyłem ",0.0,,,
3,_STAT _Eurostat  Będzie link wiec tak :),0.0,,,
4,"Trwa Akcja Mammobus w GUS. 08.03.2021r. z okazji Dnia Kobiet, na parkingu Głównego Urzędu Statystycznego w mobilnym autobusie wykonywane są bezpłatne badania mammograficzne w ramach programu „Profilaktyka raka piersi”  GUS dzieńkobiet zdrowie profilaktyka badania  ",1.0,,,
5,Czy prelekcje będą dostępne dla wszystkich?,0.0,,,
6,Niestety GUS nie jest  już niezależna instytucją.,-1.0,,,
7,"Różnica w wynagrodzeniach kobiet i mężczyzn:  W przypadku grupy zawodowej ""władze publiczne, wyżsi urzędnicy i kierownicy"" różnica na rzecz mężczyzn wynosi 35,4 proc., w grupie ""specjalistów i inżynierów"" niewiele mniej - 32,9 proc.  /dane GUS",0.0,,,
8,"  czyli ta opinia UE jest ok, tak? Polski GUS to inaczej wyliczył.  ",0.0,,,
9,"_STAT _GOV_PL Fajne dane... Pracuję w firmie która zatrudnia ok.1000 osób, a o takich zarobkach mogę tylko pomarzyć... Średnia płaca to ok. 3900 brutto z nadgodzinami…",-1.0,,,
10,Te wszystkie cyfry nie bardzo maja sens. Wystarczy przejrzeć statystyki gus z ostatnich 10 lat. Pokazuja ze umieralność rok rocznie wahadła się 10-20% i nie było to nic dziwnego. Teraz wie to wcale nie zmieniło w ujęciu globalnym.,0.0,,,
11,"      Można w ogóle nie pytać i pisać z głowy, fakt. Co do zgonów to rok do roku mamy wzrost o ok. 67 tys., ale w porównaniu ze średnią z 6 lat blisko 80 tys. Dane własne na bazie GUS.  ",0.0,,,
12," Jak to, GUS podał 3,6proc. (inflacja konsumencka) i 3,9proc. (inflacja emerycka).",0.0,,,
13,"Ceny rosną, inflacja szaleje, więc rząd  zamyka usta _STAT. Witaj cenzuro!  KoronawirusWPolsce inflacja drożyznaplus",-1.0,,,
14,"    I to pani zdaniem źle ze państwo chce wspierać dzietność? Ze niepełnosprawni to nie jedyna grupa, która dostaje wsparcie? Proszę sobie spojrzeć na jakakolwiek analizę demograficzną Polski (choćby GUS)- stoimy przed katastrofą. Poprawa dzietności to priorytet państwa.",-1.0,,,
15,Najbliższy wykład przez MS Teams później zależy od prelegentów.,0.0,,,
16,"   Poważnie?  Zerknij ile mamy branż gospodarki wg GUS i ile oficjalnie zamknięto.... I nie bądź śmieszny. Większość normalnie prscu ie i pracowała.... I dlatego te ""fikcje"" nie działają. Porwnaj sobie  z Lev5 Nowej Zelandii, czy AU.",-1.0,,,
17,Razem z nowym Biuletynem Statystycznym GUS_STAT pojawiły się szeregi czasowe. Dziękujemy!,0.0,,,
18,Będzie link wiec każdy będzie mógł wziąć udział :),0.0,,,
19,Tylko dla studentów UE?,0.0,,,
20,"Gdyby moja siostra nie komentowała mojego ciała, tego jak ubieram. To byłoby o wiele lepiej i milej. xd  To nie tak, że przy niej czuje się bardzo niekomfortowo. Mówi, że chciałaby, żebym ja sam jak ona, ubierał się jak 'zwykła, normalna' dziewczyna xd",0.0,,,
21,"    A gdzie zostało wykonane to zdjęcie?  Czy jest Pani pewna, że jest to obszar chroniony? Od 1945 roku zasoby leśne w Polsce systematycznie wzrastają- nie tylko wzrasta powierzchnia lasów(21%-&gt;30%), ale również ich zasobność (140 m3/ha -&gt;286 m3/ha). Proszę zajrzeć w statystyki GUS.",0.0,,,
22,Brawo! GUS,1.0,,,
23," _STAT _GOV_PL Tak, dominanta, jako uzupełnienie średniej",-1.0,,,
24,"Kolejne zaproszone instytucje to ,  oraz .   Prelekcje odbywać się będą w godz. 16:45-18:15 w formie wykładów otwartych (dla wszystkich). Szczegóły organizacyjne są na stronie    a o wykładach będę informował niezależnie.",0.0,,,
25,Polska bije rekordy niskiego bezrobocia w Europie. Ale w niektórych regionach jest 3x wyższe niż w innych  bezrobocie dane statystyki Polska UE,0.0,,,
26," Jeśli ktoś wierzy, że inflacja jest na poziomie 2,4% a w roku 2020 na poziomie 3,4% jak podaje GUS to na własnym portfelu można zobaczyć, że to fikcja. Realna inflacja to 7-10%. Gdy w banku mamy 0% to tworzy się konieczność przechowania wartości i stąd rosną ceny nieruchomości.",-1.0,,,
27,"      Gościu, masz dwucyfrowe iq i stąd twój problem. GUS mówi jasno kto budował a kto zwijał, PO zbudowało więcej szpitali, więcej oddziałów i łóżek szpitalnych niż PiS. To jest na tyle proste, że nawet ty powinieneś wiedzieć, które liczby są większe a i z tym masz problem.",-1.0,,,
28,Statystyki GUS mówią co innego nie kłam idioto,-1.0,,,
29,Milego dnia!!,1.0,,,
30,"Zgodnie z danymi GUS żywność drożeje u nas najszybciej od 10 lat! To najbardziej uderza w portfele mniej zarabiających Polaków, podobnie jak wciąż rosnące ceny prądu, czy wywozu śmieci.",0.0,,,
31,"   nie znam firmy w PL ktora buduje stoiska (nie organizując samodzielnie targow), która ma inne PKD niz 7311z - teraz Polska Izba Przem. Targ. razem z GUS ujednolicaja system. Tylko dla firm, które padają to troche za pozno. Ale wina nie leży po stronie firm.",0.0,,,
32,"Ale mnie to uderzyło, dość mocno.",0.0,,,
33," _STAT GUS: ""Według  s z y b k i e g o  szacunku"".  Ubezpieczają się na wszelki wypadek.",0.0,,,
34,2137+4  Maturę zdam,0.0,,,
35,"  Złodziejstwo, prawdy bliższe. Ponad 145 mld. już nas kosztował COVID-19 wg GUS na niego zmarło ponad 8 tysięcy osób. Do tej pory w polsce umierało 10-11 tys. osób dziennie, ale PiS to zmienił. Teraz umiera więcej i jest tendencja wzrostowa. Popił i Spalenizna, już czuć.",-1.0,,,
36,"Jednocześnie nasze oszczędności ""zjada"" rosnąca inflacja i w efekcie mamy najwyższy wzrost cen w całej UE! Wg GUS wzrost cen żywności mamy najwyższy od 10 lat. Jak wyliczył FOR, przez ostatnie 4 lata Polak, który w banku ulokował 10 000 zł oszczędności stracił ponad 400 zł!",-1.0,,,
37,Prpszeprosze,0.0,,,
38,Chce się przytulic... wr.,0.0,,,
39," chej masz bardzo kreatywny user, Flor!",0.0,,,
